State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Latitude,Longitude,Outlier_Score,Local_Moran_Significant,Getis_Ord_Significant,Isolation_Forest_Outlier
Osun,IFE EAST,MODAKEKE  II,29-13-09-004,"HOLY SAVIOUR'S PRY. SCHOOL, OKE TUBU",279,120,31,0,7.4793407,4.5441827,3,True,True,True
Osun,EDE SOUTH,ALAJUE I,29-08-04-006,ODE-OKE,113,0,3,207,7.6535525,4.4593791,3,True,True,True
Osun,IREPODUN,BARA 'B',29-20-06-008,BABA ODUNAYO,0,0,0,0,7.9021368,4.5315029,3,True,True,True
Osun,ATAKUMOSA EAST,IWARA,29-01-01-009,OPEN SPACE INFRONT OF OSUN STATE GOVT. REVENUE OFFICE,17,34,0,0,7.522265,4.704799,3,True,True,True
Osun,EDE NORTH,ASUNMO,29-07-10-003,OPEN SPACE OLOSUN COMP. EDE,108,0,6,0,7.7304127,4.4377033,3,True,True,True
Osun,ODO-OTIN,IJABE/ILA ODO,29-25-07-006,IN FRONT OF POSTAL AGENCY ILA-ODO,0,0,0,0,8.0558626,4.698658,3,True,True,True
Osun,EDE NORTH,ASUNMO,29-07-10-007,INFRONT OF ASIPAODE COMPD. OLOSUN,16,42,0,0,7.7338,4.4276,3,True,True,True
Osun,ATAKUMOSA WEST,IFELODUN,29-02-05-001,EPE VILLAGE,2,179,1,0,7.537594,4.6915484,3,True,True,True
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-010,"L.A. PRY. SCHOOL, AJEBAMIDELE",135,101,54,2,7.5554803,4.5315029,3,True,True,True
Osun,OLA-OLUWA,OBAMORO/ILE OGO,29-26-07-002,"D.C. PRY. SCHOOL, ILE-OGO II",0,0,0,0,7.7770005,4.2023095,3,True,True,True
Osun,OBOKUN,ESA - ODO,29-24-09-002,ESA-ODO MARKET SQUARE,0,0,0,0,7.7427987,4.819745,3,True,True,True
Osun,OLA-OLUWA,OGBAAGBA  II,29-26-04-004,"COURT HALL, OGBAAGBA II",67,0,3,0,7.6459195,4.2858723,3,True,True,True
Osun,ATAKUMOSA EAST,ETI-ONI,29-01-05-003,"ANG. PRY. SCHOOL, ALARERE",7,165,0,0,7.395267,4.688764,3,True,True,True
