State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-002,"UNITY PRY. SCHOOL, IWARA",277,779,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3704/ward/24389/pu/97034/97034-1677586700.pdf
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-005,"L.A. PRY. SCHOOL, AJEBANDELE ASUKU",169,400,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,187,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95936/result_37825_1677571284_thumb.jpg
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-006,OPEN SPACE IYINTA,217,744,TRUE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,204,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/006/006-1677363592.pdf
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-002,"ST. BARTH SCHOOL, IGANGAN",209,800,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,27,1,167,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/002/002-1677367594.pdf
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-004,"ST. LUKE'S SCHOOL, OWODE",318,836,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,14,0,291,5,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/004/004-1677369360.pdf
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-006,OPEN SPACE SAJUKU,136,314,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/006/006-1677370132.pdf
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-001,TOWN HALL IPERINDO I,127,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/001/001-1677358920.pdf
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-005,"COMM. PRY. SCHOOL, OKE EGUN",183,756,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,16,0,160,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95955/result_37848_1677587738_thumb.jpg
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-001,ST. LUKE'S ODOGBO,320,1100,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/001/001-1677359939.pdf
OSUN,ATAKUMOSA EAST,AYEGUNLE,29-01-06-005,OPEN SPACE ALADURA,149,394,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/005/005-1677361687.pdf
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-001,L.A. PRY. SCHOOL ONIGBOGI,107,330,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/001/001-1677362096.pdf
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-002,OPEN SPACE ONIGBOGI,162,404,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95973/result_37870_1677585680_thumb.jpg
OSUN,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-004,SOKOTO II,183,452,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/004/004-1677361951.pdf
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-001,NUMBER,0,782,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95979/result_37876_1677589139_thumb.jpg
OSUN,ATAKUMOSA EAST,FOREST RESERVE  II,29-01-08-006,ALONGE/FAJUKE,196,491,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/006/006-1677362964.pdf
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-001,ST. FELIX PRY. SCHOOL FAFORIJI I,136,419,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/001/001-1677361618.pdf
