State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Full_Location,Latitude,Longitude,Latitude_rad,Longitude_rad,Cluster_500m,Cluster_1000m,Cluster_2000m
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-001,TOWN HALL IWARA,181,942,True,-1,False,False,False,False,UNKNOWN,44,273,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95932/result_37821_1677499309_thumb.jpg,"TOWN HALL IWARA, IWARA, ATAKUMOSA EAST, OSUN, Nigeria",7.7107567,4.2414463,0.13457809223521267,0.07402720298153116,-1,-1,0
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-003,"L.A. SCHOOL, IWIKUN",245,881,True,-1,False,False,False,False,UNKNOWN,40,11,175,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95934/result_37823_1677535396_thumb.jpg,"L.A. SCHOOL, IWIKUN, IWARA, ATAKUMOSA EAST, OSUN, Nigeria",7.5597713,4.7316565,0.131942899882772,0.08258298499839106,-1,-1,-1
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-004,"METHODIST PRY. SCHOOL, AYETORO",117,308,True,-1,False,False,False,False,UNKNOWN,14,3,99,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95935/result_37824_1677593452.jpg,"METHODIST PRY. SCHOOL, AYETORO, IWARA, ATAKUMOSA EAST, OSUN, Nigeria",7.5319171,4.7174062,0.131456752382263,0.08233427034399413,-1,-1,-1
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-007,OPEN SPACE ODO-IWARA,187,538,True,-1,False,False,False,False,UNKNOWN,25,4,155,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3704/ward/24389/pu/97039/97039-1677489791.pdf,"OPEN SPACE ODO-IWARA, IWARA, ATAKUMOSA EAST, OSUN, Nigeria",7.5409401,4.8190162,0.13161423344067044,0.08410769939694557,-1,-1,-1
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-001,"N.U.D PRY. SCHOL, IGANGAN",187,558,True,-1,False,False,False,False,UNKNOWN,22,0,161,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/001/001-1677366712.pdf,"N.U.D PRY. SCHOL, IGANGAN, IGANGAN, ATAKUMOSA EAST, OSUN, Nigeria",7.4887304,4.7174062,0.13070300227419196,0.08233427034399413,-1,-1,-1
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-003,"APOSTOLIC PRY. SCHOOL, OKO-AGO",204,724,True,-1,False,True,False,False,UNKNOWN,3,199,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/003/003-1677367111.pdf,"APOSTOLIC PRY. SCHOOL, OKO-AGO, IGANGAN, ATAKUMOSA EAST, OSUN, Nigeria",7.3993236,4.7366953,0.1291425592405199,0.08267092864874057,-1,-1,-1
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-005,OPEN SPACE AJUMOBI,155,449,True,-1,False,False,False,False,UNKNOWN,4,1,148,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/005/005-1677370687.pdf,"OPEN SPACE AJUMOBI, IGANGAN, ATAKUMOSA EAST, OSUN, Nigeria",7.4887304,4.7174062,0.13070300227419196,0.08233427034399413,-1,-1,-1
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-001,"TOWN HALL, IPOLE",292,787,True,-1,True,False,False,False,UNKNOWN,123,1,152,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/001/001-1677362071.pdf,"TOWN HALL, IPOLE, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.5404947,4.8192389,0.13160645974418206,0.08411158624518976,-1,-1,-1
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-002,TOWN HALL ODO IJESA,225,909,True,-1,False,False,False,False,UNKNOWN,113,5,98,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/002/002-1677361098.pdf,"TOWN HALL ODO IJESA, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.5404947,4.8192389,0.13160645974418206,0.08411158624518976,-1,-1,-1
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-003,ST. ANDREW ISE-IJESA,243,565,True,-1,False,True,False,False,UNKNOWN,84,3,129,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/003/003-1677363858.pdf,"ST. ANDREW ISE-IJESA, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.563204,4.7964834,0.1320028118000052,0.08371442784725218,-1,-1,-1
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-004,"L.A. SCHOOL, IMOGBARA",206,478,True,-1,False,True,False,False,UNKNOWN,88,2,104,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/004/004-1677396946.pdf,"L.A. SCHOOL, IMOGBARA, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.563204,4.7964834,0.1320028118000052,0.08371442784725218,-1,-1,-1
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-005,OPEN SPACE IROGBO/IJEMBA,200,613,True,-1,True,True,False,False,UNKNOWN,75,0,105,4,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/005/005-1677363305.pdf,"OPEN SPACE IROGBO/IJEMBA, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.5703625,4.8141579,0.13212775119450923,0.08402290606589592,-1,-1,-1
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-006,"ST. JOHN PRY. SCHOOL, IDADO",253,574,True,-1,True,False,False,False,UNKNOWN,132,9,99,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/006/006-1677363065.pdf,"ST. JOHN PRY. SCHOOL, IDADO, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.563204,4.7964834,0.1320028118000052,0.08371442784725218,-1,-1,-1
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-002,TOWN HALL IPERINDO II,228,960,True,-1,False,False,False,False,UNKNOWN,83,1,136,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95952/result_37845_1677600453_thumb.jpg,"TOWN HALL IPERINDO II, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.491834,4.7870039,0.13075717031285686,0.08354897936080939,-1,-1,1
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-003,"TEMIDIRE GRAMMAR SCHOOL, IPERINDO",222,750,True,-1,False,False,False,False,UNKNOWN,75,3,141,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95953/result_37846_1677589275_thumb.jpg,"TEMIDIRE GRAMMAR SCHOOL, IPERINDO, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509,0.13082429742121782,0.08418684484253575,0,0,2
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-004,MATT. CENT AGO ISEGUN,194,532,True,-1,False,False,False,False,UNKNOWN,16,0,176,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95954/result_37847_1677596401_thumb.jpg,"MATT. CENT AGO ISEGUN, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509,0.13082429742121782,0.08418684484253575,0,0,2
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-006,"COMM. PRY. SCHOOL, KAJOLA",145,731,True,-1,False,False,False,False,UNKNOWN,24,1,120,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3704/ward/24392/pu/97057/97057-1677581112.pdf,"COMM. PRY. SCHOOL, KAJOLA, IPERINDO, ATAKUMOSA EAST, OSUN, Nigeria",7.4956801,4.8235509,0.13082429742121782,0.08418684484253575,0,0,2
