Party,Votes,Percent,Election_Year,State,Poverty_Rate,Literacy_Rate,Urbanization_Rate,Youth_Population_Percent
APC,383603,59.69,2015,Osun,17.5,65.0,46.0,35.0
PDP,249929,38.89,2015,Osun,17.5,65.0,46.0,35.0
ACPN,1731,0.27,2015,Osun,17.5,65.0,46.0,35.0
AD,1667,0.26,2015,Osun,17.5,65.0,46.0,35.0
APA,1306,0.2,2015,Osun,17.5,65.0,46.0,35.0
CPP,1029,0.16,2015,Osun,17.5,65.0,46.0,35.0
ADC,937,0.15,2015,Osun,17.5,65.0,46.0,35.0
NCP,767,0.12,2015,Osun,17.5,65.0,46.0,35.0
PPN,599,0.09,2015,Osun,17.5,65.0,46.0,35.0
AA,377,0.06,2015,Osun,17.5,65.0,46.0,35.0
KOWA,255,0.04,2015,Osun,17.5,65.0,46.0,35.0
UPP,159,0.02,2015,Osun,17.5,65.0,46.0,35.0
HP,132,0.02,2015,Osun,17.5,65.0,46.0,35.0
UDP,124,0.02,2015,Osun,17.5,65.0,46.0,35.0
APC,347634,48.64,2019,Osun,20.7,67.5,48.0,36.0
PDP,337377,47.21,2019,Osun,20.7,67.5,48.0,36.0
ADP,9057,1.27,2019,Osun,20.7,67.5,48.0,36.0
PCP,4888,0.68,2019,Osun,20.7,67.5,48.0,36.0
APA,1897,0.27,2019,Osun,20.7,67.5,48.0,36.0
ADC,1525,0.21,2019,Osun,20.7,67.5,48.0,36.0
ACCORD,1098,0.15,2019,Osun,20.7,67.5,48.0,36.0
GDPN,1081,0.15,2019,Osun,20.7,67.5,48.0,36.0
AAC,1022,0.14,2019,Osun,20.7,67.5,48.0,36.0
DPP,724,0.1,2019,Osun,20.7,67.5,48.0,36.0
PPA,703,0.1,2019,Osun,20.7,67.5,48.0,36.0
SNC,672,0.09,2019,Osun,20.7,67.5,48.0,36.0
MMN,529,0.07,2019,Osun,20.7,67.5,48.0,36.0
ACD,519,0.07,2019,Osun,20.7,67.5,48.0,36.0
APDA,492,0.07,2019,Osun,20.7,67.5,48.0,36.0
AAP,392,0.05,2019,Osun,20.7,67.5,48.0,36.0
NPC,376,0.05,2019,Osun,20.7,67.5,48.0,36.0
ANN,268,0.04,2019,Osun,20.7,67.5,48.0,36.0
SDP,259,0.04,2019,Osun,20.7,67.5,48.0,36.0
PPC,233,0.03,2019,Osun,20.7,67.5,48.0,36.0
DPC,201,0.03,2019,Osun,20.7,67.5,48.0,36.0
YPP,189,0.03,2019,Osun,20.7,67.5,48.0,36.0
ANRP,155,0.02,2019,Osun,20.7,67.5,48.0,36.0
NUP,139,0.02,2019,Osun,20.7,67.5,48.0,36.0
ABP,138,0.02,2019,Osun,20.7,67.5,48.0,36.0
AGA,138,0.02,2019,Osun,20.7,67.5,48.0,36.0
NNPP,129,0.02,2019,Osun,20.7,67.5,48.0,36.0
DA,119,0.02,2019,Osun,20.7,67.5,48.0,36.0
NCP,111,0.02,2019,Osun,20.7,67.5,48.0,36.0
PPN,104,0.01,2019,Osun,20.7,67.5,48.0,36.0
FJP,98,0.01,2019,Osun,20.7,67.5,48.0,36.0
NFD,93,0.01,2019,Osun,20.7,67.5,48.0,36.0
SNP,92,0.01,2019,Osun,20.7,67.5,48.0,36.0
GPN,91,0.01,2019,Osun,20.7,67.5,48.0,36.0
PT,89,0.01,2019,Osun,20.7,67.5,48.0,36.0
AA,88,0.01,2019,Osun,20.7,67.5,48.0,36.0
NRM,87,0.01,2019,Osun,20.7,67.5,48.0,36.0
APP,85,0.01,2019,Osun,20.7,67.5,48.0,36.0
NDLP,85,0.01,2019,Osun,20.7,67.5,48.0,36.0
FRESH,83,0.01,2019,Osun,20.7,67.5,48.0,36.0
APGA,73,0.01,2019,Osun,20.7,67.5,48.0,36.0
ASD,72,0.01,2019,Osun,20.7,67.5,48.0,36.0
