State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Full_Location,Latitude,Longitude,Latitude_rad,Longitude_rad,Cluster_500m,Cluster_1000m,Cluster_2000m,Local_Moran_I,Local_Moran_p,Local_Moran_Significant,Local_Moran_Outlier,Getis_Ord_Gi,Getis_Ord_p,Getis_Ord_Significant,Getis_Ord_HotSpot,Getis_Ord_ColdSpot,Isolation_Forest_Score,Isolation_Forest_Outlier,Outlier_Score
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-001,TOWN HALL IWARA,181,942,True,-1,False,False,False,False,UNKNOWN,44,273,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95932/result_37821_1677499309_thumb.jpg,"TOWN HALL IWARA, IWARA, ATAKUMOSA EAST, OSUN, Nigeria",7.7107567,4.2414463,0.1345780922352126,0.0740272029815311,-1,-1,0,-0.4243416213340385,0.294,False,False,0.2289358868600572,0.315,False,False,False,-1,True,1
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-003,"L.A. SCHOOL, IWIKUN",245,881,True,-1,False,False,False,False,UNKNOWN,40,11,175,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95934/result_37823_1677535396_thumb.jpg,"L.A. SCHOOL, IWIKUN, IWARA, ATAKUMOSA EAST, OSUN, Nigeria",7.5597713,4.7316565,0.131942899882772,0.082582984998391,-1,-1,-1,-0.0373183577478399,0.498,False,False,-0.025295675855439,0.479,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-004,"METHODIST PRY. SCHOOL, AYETORO",117,308,True,-1,False,False,False,False,UNKNOWN,14,3,99,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/95935/result_37824_1677593452.jpg,"METHODIST PRY. SCHOOL, AYETORO, IWARA, ATAKUMOSA EAST, OSUN, Nigeria",7.5319171,4.7174062,0.131456752382263,0.0823342703439941,-1,-1,-1,0.0019305212800751,0.347,False,False,0.1657122391482384,0.357,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-007,OPEN SPACE ODO-IWARA,187,538,True,-1,False,False,False,False,UNKNOWN,25,4,155,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3704/ward/24389/pu/97039/97039-1677489791.pdf,"OPEN SPACE ODO-IWARA, IWARA, ATAKUMOSA EAST, OSUN, Nigeria",7.5409401,4.8190162,0.1316142334406704,0.0841076993969455,-1,-1,-1,0.3641295175053538,0.219,False,False,0.3428685845742298,0.237,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-001,"N.U.D PRY. SCHOL, IGANGAN",187,558,True,-1,False,False,False,False,UNKNOWN,22,0,161,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/001/001-1677366712.pdf,"N.U.D PRY. SCHOL, IGANGAN, IGANGAN, ATAKUMOSA EAST, OSUN, Nigeria",7.4887304,4.7174062,0.1307030022741919,0.0823342703439941,-1,-1,-1,0.1993699802753377,0.342,False,False,0.1700405083183054,0.357,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-003,"APOSTOLIC PRY. SCHOOL, OKO-AGO",204,724,True,-1,False,True,False,False,UNKNOWN,3,199,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/003/003-1677367111.pdf,"APOSTOLIC PRY. SCHOOL, OKO-AGO, IGANGAN, ATAKUMOSA EAST, OSUN, Nigeria",7.3993236,4.7366953,0.1291425592405199,0.0826709286487405,-1,-1,-1,-0.90354483032952,0.144,False,False,0.4883996824934504,0.149,False,False,False,-1,True,1
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-005,OPEN SPACE AJUMOBI,155,449,True,-1,False,False,False,False,UNKNOWN,4,1,148,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/005/005-1677370687.pdf,"OPEN SPACE AJUMOBI, IGANGAN, ATAKUMOSA EAST, OSUN, Nigeria",7.4887304,4.7174062,0.1307030022741919,0.0823342703439941,-1,-1,-1,0.203517658277734,0.299,False,False,0.2187690333677416,0.32,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-001,"TOWN HALL, IPOLE",292,787,True,-1,True,False,False,False,UNKNOWN,123,1,152,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/001/001-1677362071.pdf,"TOWN HALL, IPOLE, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.5404947,4.8192389,0.131606459744182,0.0841115862451897,-1,-1,-1,0.356191901868545,0.21,False,False,0.3541095807580487,0.229,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-002,TOWN HALL ODO IJESA,225,909,True,-1,False,False,False,False,UNKNOWN,113,5,98,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/002/002-1677361098.pdf,"TOWN HALL ODO IJESA, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.5404947,4.8192389,0.131606459744182,0.0841115862451897,-1,-1,-1,-0.0039717551528624,0.112,False,False,0.5564822134157776,0.119,False,False,False,1,False,0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-003,ST. ANDREW ISE-IJESA,243,565,True,-1,False,True,False,False,UNKNOWN,84,3,129,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/003/003-1677363858.pdf,"ST. ANDREW ISE-IJESA, IPOLE, ATAKUMOSA EAST, OSUN, Nigeria",7.563204,4.7964834,0.1320028118000052,0.0837144278472521,-1,-1,-1,0.1493662174071993,0.271,False,False,0.2599193167745077,0.297,False,False,False,1,False,0
