State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Latitude,Longitude,APC_Outlier_Score,PDP_Outlier_Score,LP_Outlier_Score,NNPP_Outlier_Score,Max_Outlier_Score
Osun,ATAKUMOSA EAST,IGANGAN,29-01-02-003,"APOSTOLIC PRY. SCHOOL, OKO-AGO",3,0,199,0,7.3993236,4.7366953,1,0,3,1,3
Osun,IFE NORTH,EDUNABON  I,29-15-02-010,"C.A.C SCHOOL, EDUNABON  II",1,2,60,1,7.5254046,4.4556387,1,1,1,3,3
Osun,IFE EAST,MOORE,29-13-01-003,"ST. GABRIEL PRY. SCHOOL, I MOORE",117,81,23,3,7.4357606,4.6243751,0,1,0,3,3
Osun,IFE EAST,OKEREWE  I,29-13-04-005,"A.U.D GRAMMAR SCHOOL, ILORO",0,0,0,0,7.4676177,4.566537,1,1,3,2,3
Osun,IFE EAST,OKEREWE  I,29-13-04-010,"THE APOSTOLIC PRY. SCHOOL, OKE-SODA",163,105,7,2,7.4284612,4.4851667,0,0,0,3,3
Osun,IFE EAST,MODAKEKE I,29-13-08-002,"L.A. PRY. SCHOOL, AMUDA OBA",184,45,7,2,7.4200403,4.6025738,0,0,0,3,3
Osun,IFE EAST,MODAKEKE  II,29-13-09-004,"HOLY SAVIOUR'S PRY. SCHOOL, OKE TUBU",279,120,31,0,7.4793407,4.5441827,1,3,1,1,3
Osun,IFE EAST,MODAKEKE  III,29-13-10-001,"OGUNSUA GRAM. SCHOOL, ESUYARE",292,137,43,0,7.4813767,4.5244155,1,3,1,2,3
Osun,IFELODUN,IKIRUN RURAL,29-14-05-001,"DAGBOLU/L.A. SCHOOL, DAGBOLU I",0,0,0,0,7.9101875,4.6859844,3,1,0,1,3
Osun,ATAKUMOSA EAST,IPOLE,29-01-03-005,OPEN SPACE IROGBO/IJEMBA,75,105,0,4,7.5703625,4.8141579,0,0,0,3,3
Osun,IFEDAYO,OYI,29-12-01-003,"ST. STEPHEN SCHOOL, ARAROMI",192,220,2,0,7.9354009,4.9506747,3,1,2,1,3
Osun,IFE NORTH,MORO,29-15-08-005,IFELODUN MARKET CENTRE,48,80,18,2,7.5398893,4.460356,0,0,0,3,3
Osun,IFE SOUTH,IKIJA  I,29-16-02-011,ABA BADA,50,34,0,1,7.2033606,4.7122337,2,0,1,3,3
Osun,IFE SOUTH,OLODE,29-16-07-001,COURT HALL OLODE,124,157,14,1,7.2738443,4.6553679,0,0,0,3,3
Osun,IFE SOUTH,OSI,29-16-08-011,ABA ADEMAKINWA,40,63,2,2,7.253574,4.5315029,0,1,0,3,3
Osun,IFE SOUTH,KERE,29-16-09-005,"ST. AGNES PRY. SCHOOL, IPONRIN",50,50,0,3,7.281028,4.514155,0,1,0,3,3
Osun,IFE SOUTH,ABIRI OGUDU,29-16-10-009,"ST. JOHN PRY. SCHOOL, OGUDU I",57,45,3,1,7.3599797,4.6553679,0,0,0,3,3
Osun,ILA,ISEDO  I,29-17-04-013,SECRETARIAT,144,328,3,1,8.0009562,4.9195154,1,1,2,3,3
Osun,IFEDAYO,OBAALE,29-12-05-007,OBALA OKE - ILA ,47,101,3,1,7.9539424,4.9896482,1,0,0,3,3
Osun,IFE CENTRAL,AKARABATA,29-11-10-009,FRONTAGE OF LENARDS,53,41,12,1,7.48648,4.5456814,0,1,0,3,3
Osun,BORIPE,ADA I,29-06-07-005,"OJOMU COMPOUND, ADA",109,115,1,2,7.9062185,4.7154665,0,1,0,3,3
Osun,EDE SOUTH,OLOKI/AKODA,29-08-09-004,"ISLAMIC PRY  SCHOOL, OLORUNDA II",12,15,5,0,7.6369854,4.4673434,1,1,1,3,3
Osun,EDE NORTH,ABOGUNDE/SAGBA,29-07-02-007,127 OJISUN COMP.,39,96,0,1,7.7245175,4.4027782,1,0,0,3,3
Osun,EDE NORTH,ALUSEKERE,29-07-05-001,ISEKI OLOTI,62,223,3,2,7.7236651,4.4851265,1,1,0,3,3
Osun,EDE NORTH,ALUSEKERE,29-07-05-004,"OWODE COMM. PRY SCHOOL,",217,380,147,2,7.729243,4.4696765,3,1,2,3,3
Osun,EDE NORTH,ASUNMO,29-07-10-003,OPEN SPACE OLOSUN COMP. EDE,108,0,6,0,7.7304127,4.4377033,1,3,1,2,3
Osun,EDE SOUTH,JAGUN/JAGUN ,29-08-03-002,"33, OJULAREDE ST. (OPEN SPACE)",25,114,2,1,7.7348277,4.4300826,1,0,1,3,3
Osun,EDE SOUTH,ALAJUE I,29-08-04-006,ODE-OKE,113,0,3,207,7.6535525,4.4593791,2,3,0,3,3
Osun,EDE SOUTH,ALAJUE II,29-08-05-001,ORISUMBARE VILLAGE,0,0,0,0,7.6994918,4.5088227,2,3,0,0,3
Osun,EGBEDORE,OKINNI/OLORUNSOGO/OFATEDO,29-09-10-009,"ST. JOHNS' PR. SCHOOL, OKINNI",107,121,8,1,7.7805384,4.521117,0,0,1,3,3
Osun,IFE CENTRAL,IREMO II (ELEYELE),29-11-06-012,BISHOP'S COURT PARAKIN OBALUFE,107,32,62,1,7.4932317,4.5319365,2,1,2,3,3
Osun,EJIGBO,ELEJIGBO 'B'/OSOLO,29-10-02-014,MOYOFADE COM. BANK,1,80,12,2,7.8954066,4.3138352,3,1,1,1,3
Osun,EJIGBO,ELEJIGBO 'C'/MAPO,29-10-03-001,"BEULAH BAPT. SCHOOL, EJIGBO",1,1,400,2,7.9075531,4.3167748,2,0,2,3,3
Osun,EJIGBO,ILAWO/ISOKO/ISUNDUNRIN,29-10-09-007,ISUNDUNRIN COMM. BANK,178,128,3,2,7.8655817,4.2628207,0,0,0,3,3
Osun,EJIGBO,INISA I/AATO/IGBON,29-10-10-001,AATO POSTAL AGENCY,204,154,2,1,7.8267832,4.3423844,1,0,1,3,3
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-010,"L.A. PRY. SCHOOL, AJEBAMIDELE",135,101,54,2,7.5554803,4.5315029,1,3,1,1,3
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-013,"POST GRADUATE HALL, O.A.U",45,12,36,1,7.5219993,4.5165631,1,2,2,3,3
Osun,IFE CENTRAL,IREMO II (ELEYELE),29-11-06-002,"L.A. PRY. SCHOOL, ELEYELE",78,40,27,1,7.4133304,3.8629852,0,0,3,1,3
Osun,ILA,EYINDI,29-17-07-007,ISALE AFA I,89,100,0,1,8.0181344,4.9032936,0,0,1,3,3
Osun,ILA,OKE EDE,29-17-09-002,AFIJIO II,39,47,0,1,7.9983926,4.9065376,0,1,1,3,3
Osun,ILESA EAST,IJAMO,29-18-05-004,FRONTAGE SANNI ELECTRONIC SHOP IJAMO,87,96,11,2,7.5962981,4.7588042,0,0,0,3,3
Osun,OSOGBO,EKETA,29-30-13-010,"5, KUJENYO STREET",68,64,0,2,7.7682301,4.5617978,0,0,0,3,3
Osun,OLORUNDA,ATELEWO,29-27-04-001,"117, SABO ROAD, OSOGBO",140,67,3,2,7.7727403,4.5629254,0,0,0,3,3
Osun,OSOGBO,ATAOJA  'A',29-30-01-015,FARM SETTLEMENT,101,64,2,0,7.7119648,4.5676009,3,2,1,0,3
Osun,OSOGBO,ATAOJA  'C',29-30-03-015,"L.A. PRY SCHOOL, LARO  II",129,94,31,1,7.7618331,4.5502741,0,0,1,3,3
Osun,OSOGBO,ATAOJA  'E',29-30-05-015,"27, AKINDEKO STREET",99,66,31,2,7.7760269,4.5411795,0,0,1,3,3
Osun,OSOGBO,ATAOJA  'E',29-30-05-016,OPP. TECHNICAL COLLEGE,91,71,36,2,7.7854637,4.5340805,0,0,1,3,3
Osun,OSOGBO,ARE-AGO,29-30-08-009,OWODE VILLAGE  II,207,108,38,1,7.7368129,4.5935307,2,0,2,3,3
Osun,OSOGBO,OTUN JAGUN 'A',29-30-12-003,IYIOLA SPECIAL BREAD I,76,69,1,1,7.7693218,4.5564857,0,0,0,3,3
Osun,EDE SOUTH,ALAJUE I,29-08-04-008,ANUOLU JUNCTION,97,331,17,0,7.6535525,4.4593791,2,1,1,3,3
Osun,ILESA WEST,OMOFE/IDASA,29-19-04-006,MERCY CLINIC,55,59,25,1,7.6309955,4.7374545,0,0,1,3,3
Osun,ATAKUMOSA EAST,IWARA,29-01-01-009,OPEN SPACE INFRONT OF OSUN STATE GOVT. REVENUE OFFICE,17,34,0,0,7.522265,4.704799,2,3,1,1,3
Osun,ATAKUMOSA WEST,OSU I,29-02-01-005,"OPEN SPACE, OJU OJA AYEYEMI",32,60,3,0,7.5922835,4.6295394,1,1,3,2,3
Osun,EDE NORTH,ASUNMO,29-07-10-007,INFRONT OF ASIPAODE COMPD. OLOSUN,16,42,0,0,7.7338,4.4276,1,3,1,1,3
Osun,ILESA WEST,ISOKUN,29-19-05-017,"OPEN SPACE AGBOWORIN JUNCTION NEAR TELECOM MAST, ILESA",13,40,3,0,7.6608139,4.7480005,1,1,3,1,3
Osun,ISOKAN,ASALU (MOGIMOGI),29-22-08-015,OPEN SPACE OPPOSITE HASIBUINALAH OIL DEPOT,9,18,8,0,7.348316,4.1974627,3,1,1,2,3
Osun,OLORUNDA,AYETORO,29-27-08-032,"ARAROMI ILUPEJU COMMUNITY PRIMARY SCHOOL, KELEBE, OSOGBO",0,0,0,0,7.8013132,4.5818425,3,1,2,0,3
Osun,OSOGBO,ATAOJA  'E',29-30-05-042,"OPEN SPACE, SALVATION ARMY PRY.SCHOOL CAR PARK, OSOGBO",25,14,4,2,7.7704564,4.5515633,1,1,0,3,3
Osun,OLORUNDA,BALOGUN,29-27-02-002,"2, BISHOP STREET",165,80,18,2,7.7774903,4.5562314,0,0,0,3,3
Osun,OLA-OLUWA,OBAMORO/ILE OGO,29-26-07-002,"D.C. PRY. SCHOOL, ILE-OGO II",0,0,0,0,7.7770005,4.2023095,0,3,0,1,3
Osun,OLA-OLUWA,ISERO/IKONIFIN,29-26-06-006,ABASADE,117,109,12,3,7.7977995,4.1206748,0,1,0,3,3
